project,bugtype,count,total,percent,pct_ci_low,pct_ci_high
NVIDIA/cuda-quantum,API-/Usage-/Logic-Bug (High-Level),72,159,45.3,37.7,53.0
NVIDIA/cuda-quantum,Backend-/Framework-Integrations-Bug,45,159,28.3,21.9,35.8
NVIDIA/cuda-quantum,Build-/Install-/Packaging-Bug,15,159,9.4,5.8,15.0
NVIDIA/cuda-quantum,Config-/Environment-Bug,2,159,1.3,0.3,4.5
NVIDIA/cuda-quantum,Performance-/Numerik-Bug,25,159,15.7,10.9,22.2
Qiskit/qiskit-aer,API-/Usage-/Logic-Bug (High-Level),3,37,8.1,2.8,21.3
Qiskit/qiskit-aer,Backend-/Framework-Integrations-Bug,8,37,21.6,11.4,37.2
Qiskit/qiskit-aer,Build-/Install-/Packaging-Bug,9,37,24.3,13.4,40.1
Qiskit/qiskit-aer,Config-/Environment-Bug,8,37,21.6,11.4,37.2
Qiskit/qiskit-aer,Performance--Scaling-Bug,2,37,5.4,1.5,17.7
Qiskit/qiskit-aer,Performance-/Numerik-Bug,7,37,18.9,9.5,34.2
